store,labels,addr,lng,lat,lnum,label2,label3
耐尔袜业,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,透笼街附13-3号,126.63107600000001,45.770644,1,服装鞋帽皮具店,服装鞋帽皮具店
汇丽广场,购物服务;商场;购物中心,安隆街与上海街交汇处,126.60641399999999,45.760628999999994,1,商场,购物中心
大台北鞋城(嘉茂分店),购物服务;服装鞋帽皮具店;服装鞋帽皮具店,通顺街52号嘉茂购物中心,126.59461399999999,45.735678,1,服装鞋帽皮具店,服装鞋帽皮具店
人和新春天(石头道街),购物服务;商场;普通商场,中央大街与霞曼街交叉口东150米,126.621402,45.770973,1,商场,普通商场
凯德商用,购物服务;商场;普通商场,埃德蒙顿路46-3号附近,126.592823,45.734542,1,商场,普通商场
哈尔滨悦荟A座,购物服务;商场;购物中心,中央大街240附近,126.616394,45.779638,1,商场,购物中心
太平鸟(金安国际购物广场),购物服务;服装鞋帽皮具店;品牌服装店,中央大街69号金安国际购物广场F4层422,126.620648,45.771797,1,服装鞋帽皮具店,品牌服装店
温馨四季名店广场,购物服务;商场;普通商场,经纬二道街6号附近,126.62225500000001,45.766659000000004,1,商场,普通商场
优衣库(埃德蒙顿凯德广场店),购物服务;服装鞋帽皮具店;品牌服装店,埃德蒙顿路38号凯德广场埃德蒙顿店1层,126.593647,45.735014,1,服装鞋帽皮具店,品牌服装店
Meters/bonwe,购物服务;服装鞋帽皮具店;品牌服装店,中央大街108号,126.619083,45.772825,1,服装鞋帽皮具店,品牌服装店
新发百货大楼,购物服务;商场;普通商场|购物服务;超级市场;超市,新发镇薛家屯,126.484977,45.668445,1,商场,普通商场
圣大保罗(凯德广场),购物服务;服装鞋帽皮具店;品牌服装店,埃德蒙顿路38号凯德广场F2层,126.594108,45.734938,1,服装鞋帽皮具店,品牌服装店
百汇服饰,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,机场路599-9号,126.48586399999999,45.668898999999996,1,服装鞋帽皮具店,服装鞋帽皮具店
朗姿(华燕奥特莱斯购物中心),购物服务;服装鞋帽皮具店;品牌服装店,地段街95号华燕奥特莱斯购物中心F2层,126.629005,45.770644,1,服装鞋帽皮具店,品牌服装店
ES(金安中央大街店),购物服务;服装鞋帽皮具店;品牌服装店,中央大街69号金安国际购物广场f3层303,126.619919,45.772038,1,服装鞋帽皮具店,品牌服装店
三枪(友谊路店),购物服务;服装鞋帽皮具店;品牌服装店,友谊路105-3号,126.621199,45.779121,1,服装鞋帽皮具店,品牌服装店
三枪(中央商城店),购物服务;服装鞋帽皮具店;服装鞋帽皮具店,中央大街100号中央商城5层,126.61906,45.77179,1,服装鞋帽皮具店,服装鞋帽皮具店
百丽(金安国际购物广场),购物服务;服装鞋帽皮具店;品牌鞋店,中央大街69号金安国际购物广场f1层105-106,126.620382,45.772175,1,服装鞋帽皮具店,品牌鞋店
哥弟(远大购物中心店),购物服务;服装鞋帽皮具店;品牌服装店,群力街道群力大道1176号群力远大购物中心2楼,126.558481,45.739276000000004,1,服装鞋帽皮具店,品牌服装店
LiLy(金安国际购物广场),购物服务;服装鞋帽皮具店;品牌服装店,中央大街69号金安国际购物广场f2层207、f208,126.62026200000001,45.772161,1,服装鞋帽皮具店,品牌服装店
李宁(百盛店),购物服务;体育用品店;李宁专卖店,中央大街222号百盛购物中心F4层,126.616887,45.779098,1,体育用品店,李宁专卖店
EVISU(远大购物中心店),购物服务;服装鞋帽皮具店;品牌服装店,群力大道1176号远大购物中心1层,126.558481,45.739276000000004,1,服装鞋帽皮具店,品牌服装店
王府井·泛乐城,购物服务;商场;购物中心,田地街67号,126.62974399999999,45.768722,1,商场,购物中心
她衣柜(顾乡店),购物服务;服装鞋帽皮具店;品牌服装店|购物服务;专卖店;专营店,顾乡三道街43号,126.58596000000001,45.738347999999995,1,服装鞋帽皮具店,品牌服装店
北京布鞋(顾乡店),购物服务;服装鞋帽皮具店;品牌鞋店,顾乡乡政街144号,126.58813400000001,45.736182,1,服装鞋帽皮具店,品牌鞋店
ONLY(百盛购物中心),购物服务;服装鞋帽皮具店;品牌服装店,中央大街222号百盛购物中心F2层,126.615986,45.778890000000004,1,服装鞋帽皮具店,品牌服装店
